iter	Accuracy	Logloss
0	0.8664245326	0.6259772992
1	0.8776540432	0.5726342035
2	0.8878656355	0.5256870402
3	0.8871639202	0.4936283922
4	0.8901031609	0.4606650745
5	0.8906243743	0.4324616569
6	0.8889680876	0.4084320508
7	0.8918716624	0.390646707
8	0.8904300957	0.3750759437
9	0.8925385847	0.3612258929
10	0.891493837	0.3490255223
11	0.8933587538	0.3375673973
12	0.8918322275	0.3273694094
13	0.8915234131	0.31742509
14	0.8930856054	0.3105228895
15	0.8930203632	0.3027134811
16	0.8938830121	0.2981769672
17	0.8946902775	0.2935243362
18	0.8948010444	0.287910887
19	0.8973791322	0.28371705
20	0.8974117533	0.2795269102
21	0.8987137009	0.2765432004
22	0.8989155172	0.2724788091
23	0.8991628583	0.2693445311
24	0.9000482695	0.2664044778
25	0.8990687639	0.2638017814
26	0.9003836151	0.2617543478
27	0.9007288194	0.2579882501
28	0.9010702549	0.257126286
29	0.9006506736	0.2545836906
30	0.9004913371	0.2528017066
31	0.9007842029	0.2511847276
32	0.900458716	0.2493989753
33	0.9009860192	0.248120961
34	0.9008297276	0.2463719008
35	0.9015262261	0.2449035447
36	0.9015360849	0.2435352042
37	0.902030767	0.2422913637
38	0.9026817408	0.2404811376
39	0.9026817408	0.2397462286
40	0.9023562539	0.2388680055
41	0.903602818	0.2379359249
42	0.9027272655	0.2369707992
43	0.9023334915	0.2360777202
44	0.902209821	0.2353779039
45	0.9027272655	0.234888072
46	0.9034791475	0.2336872084
47	0.9039510673	0.2332184983
48	0.9038273967	0.2323713249
49	0.9039283049	0.231678735
50	0.9041984083	0.2313809036
51	0.9045238952	0.2308204171
52	0.9046930905	0.2304891663
53	0.9048395234	0.2293682326
54	0.9051877727	0.228975401
55	0.905174869	0.2283287946
56	0.9049502903	0.2277163855
57	0.9049730527	0.2273641421
58	0.9052431561	0.2259605212
59	0.9051422479	0.2258542015
60	0.9051422479	0.2257616801
61	0.9055914054	0.2247027104
62	0.9062097581	0.2242531012
63	0.9058615088	0.2242058018
64	0.9056369301	0.2236869616
65	0.9059851793	0.2234125941
66	0.9062097581	0.2233388403
67	0.9056824548	0.2226646764
68	0.9061543746	0.2222947002
69	0.9057932217	0.221967655
70	0.9057932217	0.221402055
71	0.9061187086	0.2207060879
72	0.9054677348	0.2202929126
73	0.9055132596	0.2197166326
74	0.9056141677	0.2195302792
75	0.9056369301	0.2189961323
76	0.9051877727	0.2185753709
77	0.9053114432	0.2181122885
78	0.9053114432	0.2180629887
79	0.9051650103	0.2180068375
80	0.9052886808	0.217610677
81	0.9052886808	0.2175434908
82	0.9052431561	0.2171231719
83	0.9054677348	0.2169484617
84	0.9055003559	0.2166442128
85	0.9052985396	0.2161617533
86	0.9052757772	0.2158375402
87	0.9059168923	0.2154149367
88	0.9059950381	0.2149757767
89	0.9058713675	0.2147735159
90	0.9058486052	0.2144663668
91	0.9062651415	0.213984363
92	0.9062651415	0.2138412458
93	0.9066361531	0.2137670323
94	0.9065807697	0.2130867187
95	0.9066589155	0.212930587
96	0.9065580073	0.2127934157
97	0.9065580073	0.2126964781
98	0.906782586	0.2125013054
99	0.9067598237	0.2121700549
100	0.9070071647	0.2120106581
101	0.9076482798	0.2114900051
102	0.9073227929	0.2111016955
103	0.9072446471	0.210975689
104	0.9072674095	0.2104654672
105	0.9068963978	0.210209917
106	0.9072218847	0.2099157288
107	0.9072446471	0.2097464827
108	0.9072446471	0.2096385857
109	0.9072446471	0.2094951387
110	0.9073683176	0.2094928816
111	0.9074919882	0.2092602941
112	0.9074919882	0.2090567471
113	0.9074919882	0.2090330961
114	0.9071665013	0.2087406586
115	0.90739108	0.2085904064
116	0.9072674095	0.2084565062
117	0.906997306	0.2083590642
118	0.9067727273	0.207999397
119	0.9070754518	0.2077041675
120	0.9069745437	0.2075551175
121	0.906997306	0.207460316
122	0.9072218847	0.2071411875
123	0.9072218847	0.2071411849
124	0.9074009387	0.2069787344
125	0.9073000305	0.2068706237
126	0.9076027551	0.2067853439
127	0.9080746749	0.2065837484
128	0.9083773994	0.2064539937
129	0.9082309665	0.2063426532
130	0.9085792157	0.2061403409
131	0.9084555452	0.2058880555
132	0.9085792157	0.2058099257
133	0.9085792157	0.2055922374
134	0.9083773994	0.2049542626
135	0.9083773994	0.2049538908
136	0.9088493192	0.2047384224
137	0.9085010699	0.2045954092
138	0.9091748061	0.2043979661
139	0.9090738979	0.2042241115
140	0.9091748061	0.2041259101
141	0.9091975684	0.2040383386
142	0.9091975684	0.2040383343
143	0.909500293	0.2039643002
144	0.9095230553	0.2036821813
145	0.9095230553	0.2036821806
146	0.9097248717	0.2035555347
147	0.9099039257	0.2032516494
148	0.9099039257	0.2030786484
149	0.9094873893	0.2029365175
150	0.9094873893	0.2029168501
151	0.9095882975	0.2027417038
152	0.9100829797	0.202559659
153	0.9101838878	0.2024965458
154	0.9105548995	0.2021408266
155	0.9107013324	0.2019845014
156	0.910857624	0.2018118038
157	0.9102521749	0.201636135
158	0.9106004242	0.2015670654
159	0.9108022405	0.2013815878
160	0.9109259111	0.201165562
161	0.9105548995	0.2009314791
162	0.91067857	0.2007805664
163	0.911072344	0.200462639
164	0.9110495816	0.2001738089
165	0.9110495816	0.1998872957
166	0.9108477653	0.1996858795
167	0.9107468571	0.1996207618
168	0.911072344	0.199224098
