iter	Passed	Remaining
0	11	57101
1	22	56045
2	33	55026
3	42	52941
4	69	69366
5	86	72208
6	99	70922
7	106	66614
8	116	64489
9	124	61965
10	133	60546
11	142	59242
12	156	59904
13	168	59993
14	177	59107
15	189	59054
16	201	58967
17	209	57850
18	217	56959
19	226	56478
20	234	55600
21	242	54846
22	250	54241
23	260	53925
24	271	54114
25	281	53785
26	289	53236
27	305	54186
28	315	54147
29	326	54010
30	334	53695
31	344	53486
32	352	53094
33	362	52936
34	376	53356
35	384	52977
36	396	53185
37	404	52842
38	415	52840
39	422	52386
40	431	52145
41	438	51773
42	448	51696
43	458	51653
44	470	51844
45	480	51717
46	489	51567
47	497	51364
48	505	51086
49	515	50986
50	520	50543
51	530	50469
52	538	50298
53	548	50209
54	554	49893
55	565	49929
56	575	49889
57	584	49763
58	593	49685
59	598	49294
60	604	48971
61	614	48947
62	622	48783
63	628	48473
64	636	48350
65	646	48339
66	650	47930
67	661	48013
68	671	47995
69	680	47922
70	688	47798
71	697	47754
72	704	47564
73	713	47481
74	719	47274
75	728	47187
76	735	47035
77	746	47082
78	752	46865
79	759	46692
80	768	46666
81	776	46595
82	784	46476
83	801	46884
84	812	46968
85	820	46876
86	829	46858
87	837	46759
88	846	46717
89	854	46596
90	864	46643
91	883	47107
92	890	47001
93	901	47038
94	910	47031
95	917	46890
96	925	46756
97	931	46601
98	939	46494
99	948	46464
100	971	47141
101	981	47119
102	988	46997
103	998	46991
104	1008	47033
105	1017	46968
106	1026	46932
107	1035	46887
108	1068	47931
109	1094	48674
110	1100	48458
111	1106	48300
112	1114	48203
113	1119	47969
114	1128	47955
115	1136	47836
116	1151	48067
117	1157	47873
118	1171	48037
119	1197	48688
120	1209	48782
121	1217	48684
122	1226	48646
123	1230	48385
124	1240	48383
125	1248	48278
126	1254	48151
127	1261	48033
128	1275	48145
129	1286	48192
130	1295	48150
131	1303	48056
132	1312	48017
133	1318	47897
134	1330	47943
135	1335	47758
136	1349	47905
137	1363	48043
138	1377	48161
139	1384	48069
140	1394	48053
141	1401	47942
142	1406	47764
143	1412	47619
144	1419	47516
145	1424	47372
146	1432	47289
147	1442	47296
148	1450	47223
149	1458	47159
150	1465	47067
151	1476	47085
152	1483	47001
153	1493	46993
154	1500	46888
155	1508	46845
156	1516	46766
157	1526	46780
158	1532	46649
159	1547	46799
160	1556	46780
161	1565	46749
162	1576	46781
163	1583	46686
164	1590	46612
165	1599	46564
166	1607	46520
167	1613	46414
168	1622	46367
169	1626	46224
170	1634	46158
171	1644	46154
172	1653	46129
173	1663	46133
174	1669	46030
175	1681	46085
176	1689	46042
177	1694	45910
178	1700	45788
179	1708	45754
180	1715	45672
181	1723	45627
182	1731	45573
183	1738	45511
184	1745	45419
185	1752	45365
186	1769	45538
187	1781	45610
188	1790	45569
189	1797	45505
190	1806	45475
191	1813	45425
192	1827	45506
193	1835	45465
194	1845	45485
195	1854	45464
196	1865	45484
197	1875	45494
198	1883	45428
199	1892	45419
200	1899	45348
201	1907	45297
202	1913	45218
203	1919	45133
204	1927	45080
205	1936	45058
206	1945	45039
207	1951	44955
208	1961	44960
209	1968	44903
210	1978	44904
211	1984	44826
212	1991	44760
213	1998	44699
214	2008	44690
215	2016	44667
216	2027	44691
217	2040	44758
218	2051	44796
219	2065	44876
220	2072	44821
221	2081	44808
222	2091	44798
223	2098	44737
224	2105	44692
225	2113	44650
226	2120	44589
227	2129	44564
228	2136	44503
229	2143	44459
230	2155	44490
231	2173	44675
232	2183	44671
233	2190	44615
234	2198	44586
235	2205	44520
236	2214	44498
237	2221	44439
238	2229	44405
239	2236	44362
240	2246	44352
241	2253	44308
242	2264	44327
243	2271	44278
244	2284	44343
245	2299	44432
246	2306	44385
247	2314	44352
248	2321	44299
